generation,leftchild,rightchild,abstime,betainit,betashift
1920000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,1.14051,-0.0966406
1950000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.116864,0.144818
1980000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.226614,0.0148692
1980000,RuakaJLB17_142_0815_AIBF,NA,14.0927,1.89321,0.104741
1980000,RretiMNCN_26963_0395_ADJF,NA,13.2718,2.37196,0.0639346
1980000,RretiMNCN_26963_0395_ADJF,RretiMNCN_27372_0417_AEBH,11.4712,0.86685,-0.00678265
1980000,Rflav_0076_AAHG,RimitJLB07_42_0404_AEAE,8.6761,0.550177,0.010747
1980000,Rlama_0091_AAJB,NA,12.5328,2.24729,-0.0378485
1980000,EcaptJB0004n1_0239_ACDJ,NA,6.15318,0.892501,-0.0998338
2010000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,1.28449,-0.117171
2010000,RyavaJLB08_157_0173_ABHD,RyavaJLB08_157_0174_ABHE,13.2234,0.0209718,-0.0175649
2040000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.309218,-0.023945
2070000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,1.32054,-0.110747
2100000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,1.1555,-0.103913
2130000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.13212,0.174947
2160000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.680719,-0.064197
2190000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.35975,-0.0267723
2190000,RlamaJLB07_002_0086_AAIG,Rlama_0091_AAJB,12.2488,0.472034,0.0735431
2220000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.220029,0.0105714
2220000,RdeflJLB08_005_0055_AAFF,RdeflJLB08_008_0057_AAFH,10.1414,0.0554008,-0.045811
2220000,RimitET_16_061_0915_AJBF,NA,13.7021,0.114197,0.0174252
2220000,RimitJLB07_42_0404_AEAE,RimitET_16_061_0915_AJBF,12.4069,0.263669,0.0193315
2250000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.147066,0.114403
2250000,RretiMNCN_26963_0395_ADJF,NA,14.3088,2.13141,0.0604272
2250000,Rvari_0123_ABCD,NA,13.6831,0.512012,0.0624984
2250000,Rvent_0154_ABFE,NA,13.6301,1.49549,0.0318079
2250000,RimitJLB07_42_0404_AEAE,RimitET_16_061_0915_AJBF,10.7062,3.73086,-0.125697
2280000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.347182,0.00484128
2280000,RdeflJLB08_008_0057_AAFH,NA,14.5033,0.407025,-0.0757433
2310000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.133796,0.112832
2310000,RdeflJLB08_005_0055_AAFF,RdeflJLB08_008_0057_AAFH,8.48262,0.0112246,-0.0688763
2310000,RtoraIP_MTR28544_0631_AGDB,RdeflSCF2012_0898_AIJI,7.19833,0.0536487,-0.15875
2340000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.161739,0.0550965
2370000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.142794,0.120281
2400000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.131252,0.0937779
2430000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.160368,0.0653904
2460000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.218321,0.0391547
2490000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.27965,0.0114365
2520000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.20617,0.035515
2520000,RtoraIP_MTR28544_0631_AGDB,NA,14.1433,1.45732,-0.0771603
2520000,Rlama_0091_AAJB,NA,13.6544,0.228651,-0.023428
2550000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.313839,-0.0113137
2580000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.182577,0.0699042
2580000,Rvent_0154_ABFE,RventLSUMZ_12925_0577_AFHH,12.6005,0.360277,-0.0816325
2580000,Rvent_0154_ABFE,Rvent_0165_ABGF,11.0247,0.00850564,-0.00599315
2580000,RfanJLB07_19_0398_ADJI,RventJLB07_048_0152_ABFC,6.71687,0.396961,-0.0292712
2610000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.222914,0.039259
2640000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.210521,0.0281422
2640000,Rvent_0154_ABFE,NA,13.4106,0.984475,-0.00191757
2640000,Rvent_0154_ABFE,Rvent_0165_ABGF,10.9983,0.0120877,0.0721768
2640000,RsireJLB07_031_0104_ABAE,NA,14.0696,3.44573,-0.0542963
2670000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.152608,0.0731727
2670000,RtoraIP_MTR28544_0631_AGDB,RdeflSCF2012_0898_AIJI,8.62784,0.000694442,-0.0715443
2670000,RvanzIP_MTR28162_0635_AGDF,NA,13.5984,2.56056,0.0598881
2670000,Mminu_0244_ACEE,NA,3.73375,0.0514001,-0.0764721
2700000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.187212,0.00881987
2700000,Rvent_0154_ABFE,NA,13.488,2.19286,-0.0596472
2700000,Rvent_0154_ABFE,Rvent_0165_ABGF,10.4397,0.00327623,0.0628192
2700000,RimitJLB07_42_0404_AEAE,RimitET_16_061_0915_AJBF,11.4485,0.565589,0.0246742
2700000,RimitJLB07_42_0404_AEAE,RimitET_16_061_0915_AJBF,12.3644,1.68846,-0.0138057
2730000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.807634,-0.0896677
2760000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.28737,0.0281123
2760000,Rvent_0154_ABFE,RventLSUMZ_12925_0577_AFHH,12.636,0.490346,0.0272747
2760000,Rvent_0154_ABFE,Rvent_0165_ABGF,10.0169,0.0195167,-0.200938
2760000,EcaptJB0004n1_0239_ACDJ,NA,2.32678,0.544973,-0.058306
2790000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.225964,0.0204749
2820000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.466102,-0.0454914
2850000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.457905,-0.0139006
2880000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.143131,0.0878125
2880000,RfanJLB07_19_0398_ADJI,RfantJLB07_046_0069_AAGJ,12.8726,0.866602,-0.0768476
