generation,leftchild,rightchild,abstime,betainit,betashift
1410000,Rsumm_0108_ABAI,RfantJLB07_998_0073_AAHD,13.1577,0.712753,-0.013585
1410000,Ruaka_0119_ABBJ,NA,14.2002,0.0450585,0.091824
1410000,RventJLB08_019_0264_ACGE,NA,12.5073,0.242281,0.0264588
1410000,RimitJLB17_089_0588_AFII,NA,13.9713,1.0743,0.0114076
1440000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00144726,0.0144482
1440000,Rfant_0062_AAGC,NA,13.837,0.449648,0.16941
1440000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.5722,0.735809,0.0734761
1440000,Ruaka_0119_ABBJ,Ruaka_0121_ABCB,13.053,0.305214,0.0711767
1440000,Ruaka_0114_ABBE,NA,14.5334,0.384413,-0.100052
1440000,RimitJLB17_089_0588_AFII,NA,13.6116,0.458723,0.0770993
1470000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00229173,-0.0448
1470000,RfanJLB07_19_0398_ADJI,Rsumm_0108_ABAI,12.4937,0.581308,0.00962577
1470000,RretiMNCN_26963_0395_ADJF,NA,13.0644,0.188916,0.0297328
1470000,RimitJLB17_089_0588_AFII,NA,13.7925,1.03953,-0.0100599
1500000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00160209,-0.00218335
1500000,Rfant_0062_AAGC,NA,13.8611,0.376606,0.00985139
1500000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.708,0.965724,-0.0355703
1500000,RimitJLB17_089_0588_AFII,NA,14.1215,1.7126,0.147307
1530000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.000987887,0.0728261
1530000,Rfant_0062_AAGC,NA,13.956,0.316023,-0.0254206
1530000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.6477,0.993312,0.0839945
1530000,Ruaka_0119_ABBJ,NA,14.5655,0.740447,0.0966454
1530000,RretiMNCN_26963_0395_ADJF,NA,14.4688,0.00804671,0.0700619
1530000,RimitJLB17_089_0588_AFII,NA,13.8643,1.39508,0.0526724
1560000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00326813,-0.0507617
1560000,Rfant_0062_AAGC,NA,14.184,0.571526,-0.0962681
1560000,Rsumm_0108_ABAI,RfantJLB07_998_0073_AAHD,12.8556,0.607577,-0.0796194
1560000,RimitJLB17_089_0588_AFII,NA,13.5064,0.879373,0.0503076
1590000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00286645,-0.0169929
1590000,Rfant_0062_AAGC,NA,14.4029,1.03084,0.0114389
1590000,Rsumm_0108_ABAI,RfantJLB07_998_0073_AAHD,12.9605,0.171266,0.0390263
1590000,RimitJLB17_089_0588_AFII,NA,13.687,0.42311,0.0794099
1620000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00117979,0.0366733
1620000,Rfant_0062_AAGC,NA,13.9041,1.46698,-0.116212
1620000,Rsumm_0108_ABAI,RfantJLB07_998_0073_AAHD,13.0374,0.982443,-0.138821
1620000,RimitJLB17_089_0588_AFII,NA,13.4919,0.504525,-0.00392267
1650000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00268201,-0.0131349
1650000,Rfant_0062_AAGC,NA,14.2149,0.538425,-0.0105565
1650000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.4822,0.57131,-0.071429
1650000,RimitJLB17_089_0588_AFII,NA,13.6921,1.29886,0.0232439
1680000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00268933,-0.0327312
1680000,Rfant_0062_AAGC,NA,13.5323,1.02514,0.0220334
1680000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.4289,0.523756,-0.174453
1680000,RimitJLB17_089_0588_AFII,NA,13.8918,1.07774,0.0875801
1710000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00129465,0.0965503
1710000,Rfant_0062_AAGC,NA,14.2689,1.77192,0.0813499
1710000,Rsumm_0108_ABAI,RfantJLB07_998_0073_AAHD,13.2133,0.917755,0.0282361
1710000,RyavaJLB08_157_0174_ABHE,NA,14.2377,0.108322,0.0741196
1710000,RimitJLB17_089_0588_AFII,NA,14.1368,1.92847,-0.115909
1740000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00162948,0.026861
1740000,Rfant_0062_AAGC,NA,14.3222,2.23371,0.0459326
1740000,Rsumm_0108_ABAI,RfantJLB07_998_0073_AAHD,13.1405,0.688904,-0.0528496
1740000,RimitJLB17_089_0588_AFII,NA,13.7935,1.19291,0.0772481
1770000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.000973167,0.0922187
1770000,RfanJLB07_19_0398_ADJI,Rfant_0062_AAGC,13.4438,0.234994,-0.00630507
1770000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.4574,0.649267,-0.0114976
1770000,RimitJLB17_089_0588_AFII,NA,13.9815,1.1852,0.0616934
1800000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00185862,0.0428409
1800000,Rfant_0062_AAGC,NA,13.8227,0.626888,0.110856
1800000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.4123,0.637206,-0.00482358
1800000,RimitJLB17_089_0588_AFII,NA,13.802,0.964334,-0.0277047
1800000,RuakaJLB17_051_0455_AEFF,NA,13.0721,0.0134162,0.0762395
1830000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00153456,0.0260892
1830000,Rfant_0062_AAGC,NA,13.5322,1.02296,-0.0331879
1830000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.4966,1.01032,0.0132079
1830000,RventJLB08_004_0135_ABDF,NA,14.6236,0.0596126,0.0146116
1830000,RimitJLB17_089_0588_AFII,NA,13.3625,0.864734,0.0738581
1830000,RvanzLSUMZ_13658_0617_AGBH,NA,12.8535,0.392776,-0.0899623
1860000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00232635,-0.00447128
1860000,Rfant_0062_AAGC,NA,13.6226,0.606663,0.0183201
1860000,Rsumm_0108_ABAI,RfantJLB07_998_0073_AAHD,13.35,0.27791,0.0531115
1860000,RimitJLB17_089_0588_AFII,NA,13.733,0.593505,-0.059921
1890000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.000799599,0.0766977
1890000,Rfant_0062_AAGC,NA,14.048,0.286691,-0.0103039
1890000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.3941,0.430277,0.0563151
1890000,RimitJLB17_089_0588_AFII,NA,13.6338,0.699283,-0.00808179
1920000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.0010927,0.0324746
1920000,Rfant_0062_AAGC,NA,14.3539,1.29748,-0.0981596
1920000,Rsumm_0108_ABAI,RfantJLB07_998_0073_AAHD,13.325,0.703871,-0.116221
1920000,RimitJLB17_089_0588_AFII,NA,13.5609,0.811275,0.0334109
1950000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00129508,0.0275276
1950000,Rfant_0062_AAGC,NA,13.8637,0.816725,0.0892335
1950000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.4808,1.41499,-0.0360893
